
"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.", "% 1 $ s ir pievienota vēlmju sarakstam Noklikšķiniet <a href=""%2$s""> šeit </ a>, lai turpinātu iepirkšanās.".
"%1$s has been updated in your wishlist.", "% 1 $ s ir atjaunināta savu vēlmju sarakstu."
"%d product(s) have been added to shopping cart: %s.", "% D prece (-s) ir pievienota iepirkumu grozā:% s."
"%s for ""%s"".", "%s" "% s" "."
"%s has been moved to wishlist %s", "%s tika pārvietota uz Vēlmju% s"
"%s's Wishlist", "%s Vēlmju"
"* Required Fields", "* Obligātie lauki"
"Product", "Produkts"
"Product Details and Comment", "Parametri un komentēt"
"Product(s) %s have required options. Each of them can be added to cart separately only.", "Produkts (i)% s ir nepieciešami iespējas Katrs no tiem var pievienot grozā atsevišķi tikai.".
"RSS Feed", "RSS"
"RSS link to %s's wishlist", "RSS saite uz% s vēlmju sarakstu"
"Remove Item", "Noņemt Item"
"Remove This Item", "Dzēst šo lietu"
"Remove item", "Noņemt objektu"
"Requested cart item doesn't exist", "Pieprasītā grozs vienība neeksistē"
"Requested wishlist doesn't exist", "Pieprasītā vēlmju saraksts neeksistē"
"Share Options", "Akciju opcijas"
"Share Wishlist", "Daļa Vēlmju"
"Share Your Wishlist", "Share savu vēlmju saraksts"
"Sharing Information", "Sharing Information"
"This Wishlist has no Items", "Šī Vēlmju nav Items"
"This product(s) is currently out of stock", "Šis produkts (-i) pašlaik no krājuma"
"Unable to add the following product(s) to shopping cart: %s.", "Nevar pievienot šādu produktu (s) grozā:.%s"
"Update Wishlist", "Atjaunināt Vēlmju"
"User description", "Lietotāja apraksts"
"View Details", "Skatīt detaļas"
"View Product", "View Product"
"What's this?", "Kas tas ir?"
"Wishlist", "Vēlmju"
"Wishlist Section", "Vēlmju sadaļa"
"Wishlist Sharing", "Vēlmju koplietošana"
"Wishlist could not be created.", "Vēlmju nevar izveidot."
"Wishlist is empty now.", "Vēlmju ir tukša tagad."
"You have no items in your wishlist.", "Jums ir tukšs Jūsu vēlmju sarakstu."
"Your Wishlist has been shared.", "Jūsu Vēlmju ir dalīta."
